MONTH_NO,MONTH,AIRLINE_NAME,PASSENGERS_TO_INDIA,PASSENGERS_FROM_INDIA,FREIGHT_TO_INDIA,FREIGHT_FROM_INDIA
1,JAN,AEROFLOT,4896,6892,9.3,152.1
2,FEB,AEROFLOT,5266,5746,214.3,22.8
3,MAR,AEROFLOT,8257,9411,20.5,225.2
4,APR,AEROFLOT,5994,7963,5.5,87.6
5,MAY,AEROFLOT,5397,8120,11.4,77.7
6,JUN,AEROFLOT,7444,6985,11.2,89.8
7,JUL,AEROFLOT,8758,6342,13.3,111.2
8,AUG,AEROFLOT,7098,8099,6.9,69.6
9,SEP,AEROFLOT,7878,8206,7,38
10,OCT,AEROFLOT,9447,8500,6.5,42.3
11,NOV,AEROFLOT,11565,11675,15.5,104.5
12,DEC,AEROFLOT,14338,9380,16.6,278.7
1,JAN,AEROLOGIC,0,0,3.1,3.8
2,FEB,AEROLOGIC,0,0,3.1,3.5
3,MAR,AEROLOGIC,0,0,3.7,3.6
4,APR,AEROLOGIC,0,0,3.5,2.7
5,MAY,AEROLOGIC,0,0,4,3.8
6,JUN,AEROLOGIC,0,0,3.4,3.4
7,JUL,AEROLOGIC,0,0,3.3,480.8
8,AUG,AEROLOGIC,0,0,3.3,3.8
9,SEP,AEROLOGIC,0,0,3.4,4.3
10,OCT,AEROLOGIC,0,0,3.9,3.7
11,NOV,AEROLOGIC,0,0,3.5,3.2
12,DEC,AEROLOGIC,0,0,3.5,3.6
1,JAN,AIR ARABIA,80828,83524,89.8,1069
2,FEB,AIR ARABIA,70573,73935,75.4,1078.7
3,MAR,AIR ARABIA,76750,78529,122.8,1207
4,APR,AIR ARABIA,71379,77643,121.2,1149.6
5,MAY,AIR ARABIA,75623,80301,130.6,1131.3
6,JUN,AIR ARABIA,75529,64936,69.8,1140.8
7,JUL,AIR ARABIA,79358,68404,107.6,1101.1
8,AUG,AIR ARABIA,68236,77290,111.1,1056.2
9,SEP,AIR ARABIA,66011,76560,95.6,953
10,OCT,AIR ARABIA,73159,74447,96.1,1042.3
11,NOV,AIR ARABIA,74618,72941,121.1,975
12,DEC,AIR ARABIA,78641,74638,104.3,985.2
1,JAN,AIR ASIA BERHAD,33005,35110,27.3,269.4
2,FEB,AIR ASIA BERHAD,30677,31080,58.4,230.6
3,MAR,AIR ASIA BERHAD,30868,31059,44.4,326.9
4,APR,AIR ASIA BERHAD,30354,32659,54.7,295.2
5,MAY,AIR ASIA BERHAD,36190,32654,62.7,335.6
6,JUN,AIR ASIA BERHAD,33699,26871,53.6,310.5
7,JUL,AIR ASIA BERHAD,28796,26802,70.8,324
8,AUG,AIR ASIA BERHAD,25398,24589,78.7,326.9
9,SEP,AIR ASIA BERHAD,29003,30199,66.4,359.2
10,OCT,AIR ASIA BERHAD,31317,25955,98.9,369.7
11,NOV,AIR ASIA BERHAD,29162,24764,56.4,318.1
12,DEC,AIR ASIA BERHAD,32383,33971,68.9,350.3
1,JAN,AIR ASIA X,0,0,0,0
2,FEB,AIR ASIA X,0,0,0,0
3,MAR,AIR ASIA X,5136,5550,201.8,184.6
4,APR,AIR ASIA X,4865,5369,160.1,222
5,MAY,AIR ASIA X,4995,5584,146.9,240.8
6,JUN,AIR ASIA X,5132,5165,140.9,240.4
7,JUL,AIR ASIA X,4730,4873,188,208.5
8,AUG,AIR ASIA X,4737,5081,195.7,223.3
9,SEP,AIR ASIA X,4738,4868,150.5,244.2
10,OCT,AIR ASIA X,5374,5372,217.4,234.5
11,NOV,AIR ASIA X,5431,5335,179.2,196.9
12,DEC,AIR ASIA X,5109,5534,185,238.1
1,JAN,AIR ASTANA,2497,3012,0.7,16.2
2,FEB,AIR ASTANA,2059,2313,2.4,20.3
3,MAR,AIR ASTANA,2488,3097,0.1,21.3
4,APR,AIR ASTANA,1806,2597,0.8,32.4
5,MAY,AIR ASTANA,2139,2609,1.1,32.4
6,JUN,AIR ASTANA,3842,1878,0.3,49.9
7,JUL,AIR ASTANA,3668,2531,2.6,15.3
8,AUG,AIR ASTANA,2667,3997,1.1,37.4
9,SEP,AIR ASTANA,2338,4318,1.1,39.9
10,OCT,AIR ASTANA,3265,3247,3.9,39.3
11,NOV,AIR ASTANA,3089,3606,1,63.9
12,DEC,AIR ASTANA,3479,2277,1.7,54.7
1,JAN,AIR AUSTRAL,387,346,3.8,1.4
2,FEB,AIR AUSTRAL,253,265,2.1,2.7
3,MAR,AIR AUSTRAL,287,256,0,5.3
4,APR,AIR AUSTRAL,252,297,0,5.3
5,MAY,AIR AUSTRAL,200,251,3.8,0.5
6,JUN,AIR AUSTRAL,158,171,1.2,0.7
7,JUL,AIR AUSTRAL,246,213,2.9,0.4
8,AUG,AIR AUSTRAL,218,271,0.6,1.3
9,SEP,AIR AUSTRAL,132,138,3.6,1.5
10,OCT,AIR AUSTRAL,251,213,3.4,2.2
11,NOV,AIR AUSTRAL,614,396,0,0
12,DEC,AIR AUSTRAL,932,540,0.1,14.7
1,JAN,AIR CANADA,4221,4782,566,192
2,FEB,AIR CANADA,4794,4832,120,140.2
3,MAR,AIR CANADA,5508,5690,56.5,105.8
4,APR,AIR CANADA,4400,4958,34.7,101
5,MAY,AIR CANADA,4070,5479,34.5,83.6
6,JUN,AIR CANADA,4326,4970,34.7,101
7,JUL,AIR CANADA,5121,5176,45.8,102.9
8,AUG,AIR CANADA,5002,5310,45.9,244.8
9,SEP,AIR CANADA,4494,4789,45.2,102.3
10,OCT,AIR CANADA,6342,5375,52.5,194
11,NOV,AIR CANADA,12120,10691,52.8,123
12,DEC,AIR CANADA,8696,7930,77.8,182.3
1,JAN,AIR CHINA,4915,4744,92.4,102.2
2,FEB,AIR CHINA,3266,3838,99.9,280.4
3,MAR,AIR CHINA,4057,4854,117.8,190.8
4,APR,AIR CHINA,2356,3181,94,104
5,MAY,AIR CHINA,2544,3512,88.8,200.2
6,JUN,AIR CHINA,2895,2909,68.6,97.9
7,JUL,AIR CHINA,2815,2183,80.7,88.3
8,AUG,AIR CHINA,1929,2623,69.8,198.7
9,SEP,AIR CHINA,3149,2583,110.7,107.8
10,OCT,AIR CHINA,3401,2672,123.1,192.4
11,NOV,AIR CHINA,4680,4079,115,124.3
12,DEC,AIR CHINA,4941,4710,159.4,136.9
1,JAN,AIR FRANCE,20766,23078,826.2,1201.9
2,FEB,AIR FRANCE,20932,19921,1060.1,991.4
3,MAR,AIR FRANCE,18479,20326,925.9,1090.1
4,APR,AIR FRANCE,11926,14030,691.8,770.4
5,MAY,AIR FRANCE,11311,14078,807.8,799.5
6,JUN,AIR FRANCE,12215,12751,630.9,747.6
7,JUL,AIR FRANCE,14449,12530,573.3,732.4
8,AUG,AIR FRANCE,13646,14184,655.4,782.4
9,SEP,AIR FRANCE,12854,12899,660.3,733.8
10,OCT,AIR FRANCE,14951,13840,599,940
11,NOV,AIR FRANCE,23290,22281,1103.1,1223.6
12,DEC,AIR FRANCE,24383,24629,981.3,1468.3
1,JAN,AIR INDIA,261873,279107,3509.9,4643.8
2,FEB,AIR INDIA,222709,235431,3694,5053
3,MAR,AIR INDIA,233663,259082,3827.6,4454.2
4,APR,AIR INDIA,197373,263608,3729.3,5056.7
5,MAY,AIR INDIA,223122,261369,3621.1,5581.3
6,JUN,AIR INDIA,254839,198928,3460.5,5820.9
7,JUL,AIR INDIA,271657,212489,3372.2,4820
8,AUG,AIR INDIA,228037,257263,3591.5,4985.3
9,SEP,AIR INDIA,209435,242460,3662.6,4958.4
10,OCT,AIR INDIA,245379,202528,4116.5,5360.4
11,NOV,AIR INDIA,249641,213167,3976.4,4696.9
12,DEC,AIR INDIA,282508,232529,4184,5464.7
1,JAN,AIR INDIA EXPRESS,105132,124371,13,348.3
2,FEB,AIR INDIA EXPRESS,89688,110442,18.4,369.1
3,MAR,AIR INDIA EXPRESS,107055,117130,15.1,498.8
4,APR,AIR INDIA EXPRESS,112653,133679,111.1,544.7
5,MAY,AIR INDIA EXPRESS,126272,134614,148,428.9
6,JUN,AIR INDIA EXPRESS,134795,105928,151.5,643
7,JUL,AIR INDIA EXPRESS,157181,124041,96.8,650.8
8,AUG,AIR INDIA EXPRESS,120913,159524,166.8,671.8
9,SEP,AIR INDIA EXPRESS,118483,158673,81.6,705
10,OCT,AIR INDIA EXPRESS,120906,138247,96.8,650.8
11,NOV,AIR INDIA EXPRESS,126960,134462,166.8,671.8
12,DEC,AIR INDIA EXPRESS,164032,150575,81.6,705
1,JAN,AIR MANAS,721,727,0,13.9
2,FEB,AIR MANAS,0,0,0,0
3,MAR,AIR MANAS,621,809,0,21.9
4,APR,AIR MANAS,607,1029,0,20.3
5,MAY,AIR MANAS,680,948,0.1,32.6
6,JUN,AIR MANAS,1309,853,0,36.6
7,JUL,AIR MANAS,1103,656,0,26.3
8,AUG,AIR MANAS,824,1031,0,10.9
9,SEP,AIR MANAS,884,2340,2.8,4
10,OCT,AIR MANAS,1098,1705,4.9,13.6
11,NOV,AIR MANAS,1033,927,5.6,7.3
12,DEC,AIR MANAS,1139,928,0.7,10.7
1,JAN,AIR MAURITIUS,7036,8580,17,181.6
2,FEB,AIR MAURITIUS,7477,7863,19.1,188.8
3,MAR,AIR MAURITIUS,7239,7427,26.8,240.6
4,APR,AIR MAURITIUS,6215,7919,16.4,156.5
5,MAY,AIR MAURITIUS,8673,9970,20.7,193.9
6,JUN,AIR MAURITIUS,9870,9625,18.5,213.1
7,JUL,AIR MAURITIUS,9404,9130,23.2,170.7
8,AUG,AIR MAURITIUS,7456,7724,25.8,174.3
9,SEP,AIR MAURITIUS,6929,7976,11.7,195.5
10,OCT,AIR MAURITIUS,6555,6857,18.9,212.6
11,NOV,AIR MAURITIUS,8585,7260,16.3,178.5
12,DEC,AIR MAURITIUS,10258,10040,36,239.1
1,JAN,AIR SEYCHELLES,2012,2199,0.3,1.7
2,FEB,AIR SEYCHELLES,2107,2196,0,2.2
3,MAR,AIR SEYCHELLES,2213,1945,0,2.2
4,APR,AIR SEYCHELLES,1522,2059,2.2,2.7
5,MAY,AIR SEYCHELLES,2432,2534,0.2,2
6,JUN,AIR SEYCHELLES,2592,2314,0.2,5.6
7,JUL,AIR SEYCHELLES,2427,2452,0.2,7.5
8,AUG,AIR SEYCHELLES,2001,2128,0,9.6
9,SEP,AIR SEYCHELLES,2115,2326,0.2,11.4
10,OCT,AIR SEYCHELLES,2233,2419,0.1,4.6
11,NOV,AIR SEYCHELLES,2351,2200,1.3,6.2
12,DEC,AIR SEYCHELLES,111,7502,0,0
1,JAN,ALL NIPPON AIRWAYS,5380,6056,110.6,422.9
2,FEB,ALL NIPPON AIRWAYS,5166,5597,109,422.1
3,MAR,ALL NIPPON AIRWAYS,4971,6958,210.4,439.8
4,APR,ALL NIPPON AIRWAYS,6666,7706,265.6,379.8
5,MAY,ALL NIPPON AIRWAYS,5903,8484,304.9,388.9
6,JUN,ALL NIPPON AIRWAYS,6469,6984,351.5,374.3
7,JUL,ALL NIPPON AIRWAYS,7121,6572,374,277.9
8,AUG,ALL NIPPON AIRWAYS,6287,6986,348.3,351.4
9,SEP,ALL NIPPON AIRWAYS,6671,7214,331,266.6
10,OCT,ALL NIPPON AIRWAYS,6969,7304,317.5,214.2
11,NOV,ALL NIPPON AIRWAYS,8758,7900,353.6,205.5
12,DEC,ALL NIPPON AIRWAYS,9095,8840,459.3,275.9
1,JAN,ARIANA AFGHAN,2645,2225,22.6,122.1
2,FEB,ARIANA AFGHAN,2288,2414,28.9,104.9
3,MAR,ARIANA AFGHAN,1529,2428,44.1,104.2
4,APR,ARIANA AFGHAN,868,1204,34.9,112.1
5,MAY,ARIANA AFGHAN,746,1153,15.7,63.6
6,JUN,ARIANA AFGHAN,487,939,8,51.6
7,JUL,ARIANA AFGHAN,1572,833,22.9,58.9
8,AUG,ARIANA AFGHAN,1488,1168,52.3,108.7
9,SEP,ARIANA AFGHAN,1180,1226,80.8,82.9
10,OCT,ARIANA AFGHAN,1574,1309,41.7,94.5
11,NOV,ARIANA AFGHAN,1022,1151,14.5,62.7
12,DEC,ARIANA AFGHAN,2020,1364,56.9,84.2
1,JAN,ASIANA AIRLINES,3136,3161,22.9,91.5
2,FEB,ASIANA AIRLINES,2805,2855,25.2,86.5
3,MAR,ASIANA AIRLINES,2620,3230,39.7,82.6
4,APR,ASIANA AIRLINES,1928,2925,62.5,100.1
5,MAY,ASIANA AIRLINES,1584,2554,83.8,68.7
6,JUN,ASIANA AIRLINES,2396,2250,87.7,91.9
7,JUL,ASIANA AIRLINES,4680,3088,39.2,82.9
8,AUG,ASIANA AIRLINES,3457,3922,50.7,73
9,SEP,ASIANA AIRLINES,3479,3322,44.6,80.4
10,OCT,ASIANA AIRLINES,5198,3525,76.7,119.8
11,NOV,ASIANA AIRLINES,5198,3525,108.9,87.6
12,DEC,ASIANA AIRLINES,6101,5906,86.9,60.9
1,JAN,AUSTRIAN AIRLINES,4420,4947,136.7,221.7
2,FEB,AUSTRIAN AIRLINES,3552,3743,142.9,164
3,MAR,AUSTRIAN AIRLINES,2920,4773,174.3,202.7
4,APR,AUSTRIAN AIRLINES,208,670,20.8,28.8
5,MAY,AUSTRIAN AIRLINES,0,0,0,0
6,JUN,AUSTRIAN AIRLINES,0,0,0,0
7,JUL,AUSTRIAN AIRLINES,0,0,0,0
8,AUG,AUSTRIAN AIRLINES,0,0,0,0
9,SEP,AUSTRIAN AIRLINES,0,0,0,0
10,OCT,AUSTRIAN AIRLINES,0,0,0,0
11,NOV,AUSTRIAN AIRLINES,0,0,0,0
12,DEC,AUSTRIAN AIRLINES,0,0,0,0
1,JAN,BANGKOK AIRWAYS,4477,4538,0.7,60.6
2,FEB,BANGKOK AIRWAYS,3707,3803,0.2,47.1
3,MAR,BANGKOK AIRWAYS,3948,3888,1.4,48.6
4,APR,BANGKOK AIRWAYS,3597,3893,1.7,46.1
5,MAY,BANGKOK AIRWAYS,4550,4755,1.6,35.4
6,JUN,BANGKOK AIRWAYS,3566,3124,0.2,36
7,JUL,BANGKOK AIRWAYS,3432,3637,0.4,56.4
8,AUG,BANGKOK AIRWAYS,3291,3353,0,46.2
9,SEP,BANGKOK AIRWAYS,2659,3161,1.2,24.6
10,OCT,BANGKOK AIRWAYS,2409,2991,1.9,42.6
11,NOV,BANGKOK AIRWAYS,3815,3863,0.1,29.9
12,DEC,BANGKOK AIRWAYS,4091,4482,0,42.2
1,JAN,BHUTAN AIRLINES,1527,1331,0,0
2,FEB,BHUTAN AIRLINES,1382,1382,0,0.6
3,MAR,BHUTAN AIRLINES,2284,2273,0,0
4,APR,BHUTAN AIRLINES,2212,2351,0,0
5,MAY,BHUTAN AIRLINES,3547,3995,0,0
6,JUN,BHUTAN AIRLINES,2468,2178,0,0
7,JUL,BHUTAN AIRLINES,1262,1103,0,0
8,AUG,BHUTAN AIRLINES,1531,1596,0,0
9,SEP,BHUTAN AIRLINES,1749,1841,0,0
10,OCT,BHUTAN AIRLINES,2051,2063,0,0
11,NOV,BHUTAN AIRLINES,1675,1358,0,0
12,DEC,BHUTAN AIRLINES,1144,1125,0,0
1,JAN,BIMAN BANGLADESH,6582,5580,0,0
2,FEB,BIMAN BANGLADESH,5493,6092,0,0
3,MAR,BIMAN BANGLADESH,6157,7050,0,0
4,APR,BIMAN BANGLADESH,6072,6762,0,0
5,MAY,BIMAN BANGLADESH,6438,8037,0,52.9
6,JUN,BIMAN BANGLADESH,5691,5810,0,25.5
7,JUL,BIMAN BANGLADESH,6153,7391,0,3.2
8,AUG,BIMAN BANGLADESH,3547,4131,7.6,16.1
9,SEP,BIMAN BANGLADESH,4168,4219,0,1.9
10,OCT,BIMAN BANGLADESH,5012,5030,0.4,0.4
11,NOV,BIMAN BANGLADESH,3824,4330,0,2.3
12,DEC,BIMAN BANGLADESH,4076,4002,0.2,0
1,JAN,BRITISH AIRWAYS,42283,53556,1365,2579
2,FEB,BRITISH AIRWAYS,41295,44654,1329,2513
3,MAR,BRITISH AIRWAYS,40425,47884,1619,3000
4,APR,BRITISH AIRWAYS,27722,47513,1524,3024
5,MAY,BRITISH AIRWAYS,33859,47470,1760,3143
6,JUN,BRITISH AIRWAYS,45155,42517,1.9,3
7,JUL,BRITISH AIRWAYS,47737,43686,1585.6,2896.2
8,AUG,BRITISH AIRWAYS,38068,47885,1613.9,2919.1
9,SEP,BRITISH AIRWAYS,35350,42732,1552.1,2928.4
10,OCT,BRITISH AIRWAYS,42295,33976,1676.8,2912.1
11,NOV,BRITISH AIRWAYS,44739,37972,1385.2,2833.9
12,DEC,BRITISH AIRWAYS,46917,38994,160.1,285.5
4,APR,BUDDHA AIR,93,115,0,0
5,MAY,BUDDHA AIR,0,0,0,0
6,JUN,BUDDHA AIR,0,0,0,0
7,JUL,BUDDHA AIR,0,0,0,0
8,AUG,BUDDHA AIR,0,0,0,0
9,SEP,BUDDHA AIR,89,86,0,0
10,OCT,BUDDHA AIR,80,85,0,0
11,NOV,BUDDHA AIR,61,59,0,0
12,DEC,BUDDHA AIR,0,0,0,0
1,JAN,BUDHHA AIR,0,0,0,0
2,FEB,BUDHHA AIR,45,37,0,0
3,MAR,BUDHHA AIR,42,19,0,0
4,APR,CARGOLUX AIRLINES INTERNATIONAL S.A.,0,0,0,0
5,MAY,CARGOLUX AIRLINES INTERNATIONAL S.A.,0,0,0,0
6,JUN,CARGOLUX AIRLINES INTERNATIONAL S.A.,0,0,623.6,1229.4
7,JUL,CARGOLUX AIRLINES INTERNATIONAL S.A.,0,0,550.1,940.4
8,AUG,CARGOLUX AIRLINES INTERNATIONAL S.A.,0,0,492.8,873.7
9,SEP,CARGOLUX AIRLINES INTERNATIONAL S.A.,0,0,476.5,643.3
10,OCT,CARGOLUX AIRLINES INTERNATIONAL S.A.,0,0,335,537.6
11,NOV,CARGOLUX AIRLINES INTERNATIONAL S.A.,0,0,39.3,136.5
12,DEC,CARGOLUX AIRLINES INTERNATIONAL S.A.,0,0,24.3,201.3
1,JAN,CATHAY PACIFIC,32401,35953,5965.3,3496.5
2,FEB,CATHAY PACIFIC,25008,28615,4409.8,4209
3,MAR,CATHAY PACIFIC,31068,34113,7045.6,5881.7
4,APR,CATHAY PACIFIC,29086,35045,6650.4,4612.1
5,MAY,CATHAY PACIFIC,35282,37393,6026.3,4218.7
6,JUN,CATHAY PACIFIC,34809,30993,6599.4,4296
7,JUL,CATHAY PACIFIC,33114,28021,6459,3927.3
8,AUG,CATHAY PACIFIC,26782,34036,6441.6,3749.5
9,SEP,CATHAY PACIFIC,30996,30587,8786,4032.5
10,OCT,CATHAY PACIFIC,28899,28366,7073.4,4189.4
11,NOV,CATHAY PACIFIC,32957,28524,6986.5,3215.8
12,DEC,CATHAY PACIFIC,36959,31228,6114.4,3166.6
1,JAN,CHINA AIRLINES LTD,2051,4818,98.4,151.5
2,FEB,CHINA AIRLINES LTD,1654,4847,64.5,110.9
3,MAR,CHINA AIRLINES LTD,1730,5655,77,116.6
4,APR,CHINA AIRLINES LTD,1201,4424,84.7,101.4
5,MAY,CHINA AIRLINES LTD,911,4189,57.7,91.4
6,JUN,CHINA AIRLINES LTD,1267,4300,82.9,77
7,JUL,CHINA AIRLINES LTD,1900,4676,97,86.5
8,AUG,CHINA AIRLINES LTD,1617,5133,69.8,87.9
9,SEP,CHINA AIRLINES LTD,1802,5168,347.5,78.9
10,OCT,CHINA AIRLINES LTD,2562,4983,254.1,241
11,NOV,CHINA AIRLINES LTD,2698,4222,161.7,169.6
12,DEC,CHINA AIRLINES LTD,2860,3557,205.9,182.9
1,JAN,CHINA EASTERN AIRLINES,9594,9164,290.3,158.5
2,FEB,CHINA EASTERN AIRLINES,7201,7801,147.1,142.8
3,MAR,CHINA EASTERN AIRLINES,7201,7801,147.1,142.8
4,APR,CHINA EASTERN AIRLINES,8781,10212,191.3,134.3
5,MAY,CHINA EASTERN AIRLINES,8063,10375,257.7,107
6,JUN,CHINA EASTERN AIRLINES,8963,8532,248.4,103.5
7,JUL,CHINA EASTERN AIRLINES,8672,7968,162.3,83.1
8,AUG,CHINA EASTERN AIRLINES,7202,8442,147.2,104.8
9,SEP,CHINA EASTERN AIRLINES,9560,8568,229.6,168.1
10,OCT,CHINA EASTERN AIRLINES,10020,9804,294.3,141.3
11,NOV,CHINA EASTERN AIRLINES,10546,9547,284.9,177.1
12,DEC,CHINA EASTERN AIRLINES,10854,10166,254.2,227.7
1,JAN,CHINA SOUTHERN ,9111,8492,295,35
2,FEB,CHINA SOUTHERN ,5732,6113,110.5,35.8
3,MAR,CHINA SOUTHERN ,8360,9516,191.6,57.2
4,APR,CHINA SOUTHERN ,7391,8820,232.3,69.2
5,MAY,CHINA SOUTHERN ,6500,9284,191.7,135.1
6,JUN,CHINA SOUTHERN ,7616,8035,239.8,101
7,JUL,CHINA SOUTHERN ,6856,4630,55.2,43
8,AUG,CHINA SOUTHERN ,6192,6248,10.8,44.8
9,SEP,CHINA SOUTHERN ,6655,5772,9,30.8
10,OCT,CHINA SOUTHERN ,9453,8294,58.2,331.4
11,NOV,CHINA SOUTHERN ,13062,11309,359.3,49.2
12,DEC,CHINA SOUTHERN ,11845,13185,360.8,55.2
1,JAN,DRAGON AIR,3295,3611,2.7,14.1
2,FEB,DRAGON AIR,7155,8261,3.6,17.4
