year,name,n,
1,AEROFLOT,4896,
2,AEROFLOT,5266,
3,AEROFLOT,8257,
4,AEROFLOT,5994,
5,AEROFLOT,5397,
6,AEROFLOT,7444,
7,AEROFLOT,8758,
8,AEROFLOT,7098,
9,AEROFLOT,7878,
10,AEROFLOT,9447,
11,AEROFLOT,11565,
12,AEROFLOT,14338,
1,AEROLOGIC,0,
2,AEROLOGIC,0,
3,AEROLOGIC,0,
4,AEROLOGIC,0,
5,AEROLOGIC,0,
6,AEROLOGIC,0,
7,AEROLOGIC,0,
8,AEROLOGIC,0,
9,AEROLOGIC,0,
10,AEROLOGIC,0,
11,AEROLOGIC,0,
12,AEROLOGIC,0,
1,AIR ARABIA,80828,
2,AIR ARABIA,70573,
3,AIR ARABIA,76750,
4,AIR ARABIA,71379,
5,AIR ARABIA,75623,
6,AIR ARABIA,75529,
7,AIR ARABIA,79358,
8,AIR ARABIA,68236,
9,AIR ARABIA,66011,
10,AIR ARABIA,73159,
11,AIR ARABIA,74618,
12,AIR ARABIA,78641,
1,AIR ASIA BERHAD,33005,
2,AIR ASIA BERHAD,30677,
3,AIR ASIA BERHAD,30868,
4,AIR ASIA BERHAD,30354,
5,AIR ASIA BERHAD,36190,
6,AIR ASIA BERHAD,33699,
7,AIR ASIA BERHAD,28796,
8,AIR ASIA BERHAD,25398,
9,AIR ASIA BERHAD,29003,
10,AIR ASIA BERHAD,31317,
11,AIR ASIA BERHAD,29162,
12,AIR ASIA BERHAD,32383,
1,AIR ASIA X,0,
2,AIR ASIA X,0,
3,AIR ASIA X,5136,
4,AIR ASIA X,4865,
5,AIR ASIA X,4995,
6,AIR ASIA X,5132,
7,AIR ASIA X,4730,
8,AIR ASIA X,4737,
9,AIR ASIA X,4738,
10,AIR ASIA X,5374,
11,AIR ASIA X,5431,
12,AIR ASIA X,5109,
1,AIR ASTANA,2497,
2,AIR ASTANA,2059,
3,AIR ASTANA,2488,
4,AIR ASTANA,1806,
5,AIR ASTANA,2139,
6,AIR ASTANA,3842,
7,AIR ASTANA,3668,
8,AIR ASTANA,2667,
9,AIR ASTANA,2338,
10,AIR ASTANA,3265,
11,AIR ASTANA,3089,
12,AIR ASTANA,3479,
1,AIR AUSTRAL,387,
2,AIR AUSTRAL,253,
3,AIR AUSTRAL,287,
4,AIR AUSTRAL,252,
5,AIR AUSTRAL,200,
6,AIR AUSTRAL,158,
7,AIR AUSTRAL,246,
8,AIR AUSTRAL,218,
9,AIR AUSTRAL,132,
10,AIR AUSTRAL,251,
11,AIR AUSTRAL,614,
12,AIR AUSTRAL,932,
1,AIR CANADA,4221,
2,AIR CANADA,4794,
3,AIR CANADA,5508,
4,AIR CANADA,4400,
5,AIR CANADA,4070,
6,AIR CANADA,4326,
7,AIR CANADA,5121,
8,AIR CANADA,5002,
9,AIR CANADA,4494,
10,AIR CANADA,6342,
11,AIR CANADA,12120,
12,AIR CANADA,8696,
1,AIR CHINA,4915,
2,AIR CHINA,3266,
3,AIR CHINA,4057,
4,AIR CHINA,2356,
5,AIR CHINA,2544,
6,AIR CHINA,2895,
7,AIR CHINA,2815,
8,AIR CHINA,1929,
9,AIR CHINA,3149,
10,AIR CHINA,3401,
11,AIR CHINA,4680,
12,AIR CHINA,4941,
1,AIR FRANCE,20766,
2,AIR FRANCE,20932,
3,AIR FRANCE,18479,
4,AIR FRANCE,11926,
5,AIR FRANCE,11311,
6,AIR FRANCE,12215,
7,AIR FRANCE,14449,
8,AIR FRANCE,13646,
9,AIR FRANCE,12854,
10,AIR FRANCE,14951,
11,AIR FRANCE,23290,
12,AIR FRANCE,24383,
1,AIR INDIA,261873,
2,AIR INDIA,222709,
3,AIR INDIA,233663,
4,AIR INDIA,197373,
5,AIR INDIA,223122,
6,AIR INDIA,254839,
7,AIR INDIA,271657,
8,AIR INDIA,228037,
9,AIR INDIA,209435,
10,AIR INDIA,245379,
11,AIR INDIA,249641,
12,AIR INDIA,282508,
1,AIR INDIA EXPRESS,105132,
2,AIR INDIA EXPRESS,89688,
3,AIR INDIA EXPRESS,107055,
4,AIR INDIA EXPRESS,112653,
5,AIR INDIA EXPRESS,126272,
6,AIR INDIA EXPRESS,134795,
7,AIR INDIA EXPRESS,157181,
8,AIR INDIA EXPRESS,120913,
9,AIR INDIA EXPRESS,118483,
10,AIR INDIA EXPRESS,120906,
11,AIR INDIA EXPRESS,126960,
12,AIR INDIA EXPRESS,164032,
1,AIR MANAS,721,
2,AIR MANAS,0,
3,AIR MANAS,621,
4,AIR MANAS,607,
5,AIR MANAS,680,
6,AIR MANAS,1309,
7,AIR MANAS,1103,
8,AIR MANAS,824,
9,AIR MANAS,884,
10,AIR MANAS,1098,
11,AIR MANAS,1033,
12,AIR MANAS,1139,
1,AIR MAURITIUS,7036,
2,AIR MAURITIUS,7477,
3,AIR MAURITIUS,7239,
4,AIR MAURITIUS,6215,
5,AIR MAURITIUS,8673,
6,AIR MAURITIUS,9870,
7,AIR MAURITIUS,9404,
8,AIR MAURITIUS,7456,
9,AIR MAURITIUS,6929,
10,AIR MAURITIUS,6555,
11,AIR MAURITIUS,8585,
12,AIR MAURITIUS,10258,
1,AIR SEYCHELLES,2012,
2,AIR SEYCHELLES,2107,
3,AIR SEYCHELLES,2213,
4,AIR SEYCHELLES,1522,
5,AIR SEYCHELLES,2432,
6,AIR SEYCHELLES,2592,
7,AIR SEYCHELLES,2427,
8,AIR SEYCHELLES,2001,
9,AIR SEYCHELLES,2115,
10,AIR SEYCHELLES,2233,
11,AIR SEYCHELLES,2351,
12,AIR SEYCHELLES,111,
1,ALL NIPPON AIRWAYS,5380,
2,ALL NIPPON AIRWAYS,5166,
3,ALL NIPPON AIRWAYS,4971,
4,ALL NIPPON AIRWAYS,6666,
5,ALL NIPPON AIRWAYS,5903,
6,ALL NIPPON AIRWAYS,6469,
7,ALL NIPPON AIRWAYS,7121,
8,ALL NIPPON AIRWAYS,6287,
9,ALL NIPPON AIRWAYS,6671,
10,ALL NIPPON AIRWAYS,6969,
11,ALL NIPPON AIRWAYS,8758,
12,ALL NIPPON AIRWAYS,9095,
1,ARIANA AFGHAN,2645,
2,ARIANA AFGHAN,2288,
3,ARIANA AFGHAN,1529,
4,ARIANA AFGHAN,868,
5,ARIANA AFGHAN,746,
6,ARIANA AFGHAN,487,
7,ARIANA AFGHAN,1572,
8,ARIANA AFGHAN,1488,
9,ARIANA AFGHAN,1180,
10,ARIANA AFGHAN,1574,
11,ARIANA AFGHAN,1022,
12,ARIANA AFGHAN,2020,
1,ASIANA AIRLINES,3136,
2,ASIANA AIRLINES,2805,
3,ASIANA AIRLINES,2620,
4,ASIANA AIRLINES,1928,
5,ASIANA AIRLINES,1584,
6,ASIANA AIRLINES,2396,
7,ASIANA AIRLINES,4680,
8,ASIANA AIRLINES,3457,
9,ASIANA AIRLINES,3479,
10,ASIANA AIRLINES,5198,
11,ASIANA AIRLINES,5198,
12,ASIANA AIRLINES,6101,
1,AUSTRIAN AIRLINES,4420,
2,AUSTRIAN AIRLINES,3552,
3,AUSTRIAN AIRLINES,2920,
4,AUSTRIAN AIRLINES,208,
5,AUSTRIAN AIRLINES,0,
6,AUSTRIAN AIRLINES,0,
7,AUSTRIAN AIRLINES,0,
8,AUSTRIAN AIRLINES,0,
9,AUSTRIAN AIRLINES,0,
10,AUSTRIAN AIRLINES,0,
11,AUSTRIAN AIRLINES,0,
12,AUSTRIAN AIRLINES,0,
1,BANGKOK AIRWAYS,4477,
2,BANGKOK AIRWAYS,3707,
3,BANGKOK AIRWAYS,3948,
4,BANGKOK AIRWAYS,3597,
5,BANGKOK AIRWAYS,4550,
6,BANGKOK AIRWAYS,3566,
7,BANGKOK AIRWAYS,3432,
8,BANGKOK AIRWAYS,3291,
9,BANGKOK AIRWAYS,2659,
10,BANGKOK AIRWAYS,2409,
11,BANGKOK AIRWAYS,3815,
12,BANGKOK AIRWAYS,4091,
1,BHUTAN AIRLINES,1527,
2,BHUTAN AIRLINES,1382,
3,BHUTAN AIRLINES,2284,
4,BHUTAN AIRLINES,2212,
5,BHUTAN AIRLINES,3547,
6,BHUTAN AIRLINES,2468,
7,BHUTAN AIRLINES,1262,
8,BHUTAN AIRLINES,1531,
9,BHUTAN AIRLINES,1749,
10,BHUTAN AIRLINES,2051,
11,BHUTAN AIRLINES,1675,
12,BHUTAN AIRLINES,1144,
1,BIMAN BANGLADESH,6582,
2,BIMAN BANGLADESH,5493,
3,BIMAN BANGLADESH,6157,
4,BIMAN BANGLADESH,6072,
5,BIMAN BANGLADESH,6438,
6,BIMAN BANGLADESH,5691,
7,BIMAN BANGLADESH,6153,
8,BIMAN BANGLADESH,3547,
9,BIMAN BANGLADESH,4168,
10,BIMAN BANGLADESH,5012,
11,BIMAN BANGLADESH,3824,
12,BIMAN BANGLADESH,4076,
1,BRITISH AIRWAYS,42283,
2,BRITISH AIRWAYS,41295,
3,BRITISH AIRWAYS,40425,
4,BRITISH AIRWAYS,27722,
5,BRITISH AIRWAYS,33859,
6,BRITISH AIRWAYS,45155,
7,BRITISH AIRWAYS,47737,
8,BRITISH AIRWAYS,38068,
9,BRITISH AIRWAYS,35350,
10,BRITISH AIRWAYS,42295,
11,BRITISH AIRWAYS,44739,
12,BRITISH AIRWAYS,46917,
4,BUDDHA AIR,93,
5,BUDDHA AIR,0,
6,BUDDHA AIR,0,
7,BUDDHA AIR,0,
8,BUDDHA AIR,0,
9,BUDDHA AIR,89,
10,BUDDHA AIR,80,
11,BUDDHA AIR,61,
12,BUDDHA AIR,0,
1,BUDHHA AIR,0,
2,BUDHHA AIR,45,
3,BUDHHA AIR,42,
4,CARGOLUX AIRLINES INTERNATIONAL S.A.,0,
5,CARGOLUX AIRLINES INTERNATIONAL S.A.,0,
6,CARGOLUX AIRLINES INTERNATIONAL S.A.,0,
7,CARGOLUX AIRLINES INTERNATIONAL S.A.,0,
8,CARGOLUX AIRLINES INTERNATIONAL S.A.,0,
9,CARGOLUX AIRLINES INTERNATIONAL S.A.,0,
10,CARGOLUX AIRLINES INTERNATIONAL S.A.,0,
11,CARGOLUX AIRLINES INTERNATIONAL S.A.,0,
12,CARGOLUX AIRLINES INTERNATIONAL S.A.,0,
1,CATHAY PACIFIC,32401,
2,CATHAY PACIFIC,25008,
3,CATHAY PACIFIC,31068,
4,CATHAY PACIFIC,29086,
5,CATHAY PACIFIC,35282,
6,CATHAY PACIFIC,34809,
7,CATHAY PACIFIC,33114,
8,CATHAY PACIFIC,26782,
9,CATHAY PACIFIC,30996,
10,CATHAY PACIFIC,28899,
11,CATHAY PACIFIC,32957,
12,CATHAY PACIFIC,36959,
1,CHINA AIRLINES LTD,2051,
2,CHINA AIRLINES LTD,1654,
3,CHINA AIRLINES LTD,1730,
4,CHINA AIRLINES LTD,1201,
5,CHINA AIRLINES LTD,911,
6,CHINA AIRLINES LTD,1267,
7,CHINA AIRLINES LTD,1900,
8,CHINA AIRLINES LTD,1617,
9,CHINA AIRLINES LTD,1802,
10,CHINA AIRLINES LTD,2562,
11,CHINA AIRLINES LTD,2698,
12,CHINA AIRLINES LTD,2860,
1,CHINA EASTERN AIRLINES,9594,
2,CHINA EASTERN AIRLINES,7201,
3,CHINA EASTERN AIRLINES,7201,
4,CHINA EASTERN AIRLINES,8781,
5,CHINA EASTERN AIRLINES,8063,
6,CHINA EASTERN AIRLINES,8963,
7,CHINA EASTERN AIRLINES,8672,
8,CHINA EASTERN AIRLINES,7202,
9,CHINA EASTERN AIRLINES,9560,
10,CHINA EASTERN AIRLINES,10020,
11,CHINA EASTERN AIRLINES,10546,
12,CHINA EASTERN AIRLINES,10854,
1,CHINA SOUTHERN ,9111,
2,CHINA SOUTHERN ,5732,
3,CHINA SOUTHERN ,8360,
4,CHINA SOUTHERN ,7391,
5,CHINA SOUTHERN ,6500,
6,CHINA SOUTHERN ,7616,
7,CHINA SOUTHERN ,6856,
8,CHINA SOUTHERN ,6192,
9,CHINA SOUTHERN ,6655,
10,CHINA SOUTHERN ,9453,
11,CHINA SOUTHERN ,13062,
12,CHINA SOUTHERN ,11845,
1,DRAGON AIR,3295,
2,DRAGON AIR,7155,
3,DRAGON AIR,8622,
4,DRAGON AIR,9393,
5,DRAGON AIR,10444,
6,DRAGON AIR,10278,
7,DRAGON AIR,10077,
8,DRAGON AIR,7715,
9,DRAGON AIR,8680,
10,DRAGON AIR,9204,
11,DRAGON AIR,9782,
12,DRAGON AIR,12171,
1,DRUK AIR,3590,
2,DRUK AIR,4667,
3,DRUK AIR,3559,
4,DRUK AIR,4620,
5,DRUK AIR,5036,
6,DRUK AIR,4437,
7,DRUK AIR,3402,
8,DRUK AIR,2993,
9,DRUK AIR,4194,
10,DRUK AIR,4984,
11,DRUK AIR,4591,
12,DRUK AIR,3363,
1,EGYPT AIR,1194,
2,EGYPT AIR,906,
3,EGYPT AIR,1228,
4,EGYPT AIR,821,
5,EGYPT AIR,1588,
6,EGYPT AIR,1133,
7,EGYPT AIR,1025,
8,EGYPT AIR,1008,
9,EGYPT AIR,1136,
10,EGYPT AIR,842,
11,EGYPT AIR,1619,
12,EGYPT AIR,2005,
1,EL-AL-ISRAEL,3226,
2,EL-AL-ISRAEL,3155,
3,EL-AL-ISRAEL,1302,
4,EL-AL-ISRAEL,2131,
5,EL-AL-ISRAEL,1913,
6,EL-AL-ISRAEL,1859,
7,EL-AL-ISRAEL,2434,
8,EL-AL-ISRAEL,2325,
9,EL-AL-ISRAEL,2691,
10,EL-AL-ISRAEL,1798,
11,EL-AL-ISRAEL,2754,
12,EL-AL-ISRAEL,3398,
1,EMIRATES AIRLINE,237552,
2,EMIRATES AIRLINE,208964,
3,EMIRATES AIRLINE,221418,
4,EMIRATES AIRLINE,205472,
5,EMIRATES AIRLINE,232446,
6,EMIRATES AIRLINE,250215,
7,EMIRATES AIRLINE,260673,
8,EMIRATES AIRLINE,201369,
9,EMIRATES AIRLINE,188719,
10,EMIRATES AIRLINE,217471,
11,EMIRATES AIRLINE,230228,
12,EMIRATES AIRLINE,263566,
1,ETHIOPIAN AIRLINES,3101,
2,ETHIOPIAN AIRLINES,3081,
3,ETHIOPIAN AIRLINES,11040,
4,ETHIOPIAN AIRLINES,12757,
5,ETHIOPIAN AIRLINES,13067,
6,ETHIOPIAN AIRLINES,15480,
7,ETHIOPIAN AIRLINES,17305,
8,ETHIOPIAN AIRLINES,17635,
9,ETHIOPIAN AIRLINES,4780,
10,ETHIOPIAN AIRLINES,19032,
11,ETHIOPIAN AIRLINES,16968,
12,ETHIOPIAN AIRLINES,5600,
1,ETIHAD AIRLINES,157715,
2,ETIHAD AIRLINES,89334,
3,ETIHAD AIRLINES,87318,
4,ETIHAD AIRLINES,98024,
5,ETIHAD AIRLINES,119470,
6,ETIHAD AIRLINES,125017,
7,ETIHAD AIRLINES,130362,
8,ETIHAD AIRLINES,100175,
9,ETIHAD AIRLINES,103476,
10,ETIHAD AIRLINES,101839,
11,ETIHAD AIRLINES,117175,
12,ETIHAD AIRLINES,128356,
1,EVA AIRWAYS,0,
2,EVA AIRWAYS,0,
3,EVA AIRWAYS,0,
4,EVA AIRWAYS,0,
5,EVA AIRWAYS,0,
6,EVA AIRWAYS,0,
7,EVA AIRWAYS,0,
8,EVA AIRWAYS,0,
9,EVA AIRWAYS,0,
10,EVA AIRWAYS,0,
11,EVA AIRWAYS,0,
12,EVA AIRWAYS,0,
1,FEDERAL EXPRESS,0,
2,FEDERAL EXPRESS,0,
3,FEDERAL EXPRESS,0,
4,FEDERAL EXPRESS,0,
5,FEDERAL EXPRESS,0,
6,FEDERAL EXPRESS,0,
7,FEDERAL EXPRESS,0,
8,FEDERAL EXPRESS,0,
9,FEDERAL EXPRESS,0,
10,FEDERAL EXPRESS,0,
11,FEDERAL EXPRESS,0,
12,FEDERAL EXPRESS,0,
1,FINN AIR,4352,
2,FINN AIR,4852,
3,FINN AIR,4010,
4,FINN AIR,1942,
5,FINN AIR,1834,
6,FINN AIR,3049,
7,FINN AIR,2796,
8,FINN AIR,2101,
9,FINN AIR,2412,
10,FINN AIR,3065,
11,FINN AIR,4763,
12,FINN AIR,5736,
1,FLY DUBAI,21125,
2,FLY DUBAI,18919,
3,FLY DUBAI,20012,
4,FLY DUBAI,19528,
5,FLY DUBAI,20191,
6,FLY DUBAI,21266,
7,FLY DUBAI,22640,
8,FLY DUBAI,18202,
9,FLY DUBAI,17728,
10,FLY DUBAI,19946,
11,FLY DUBAI,20585,
12,FLY DUBAI,22090,
1,GULF AIR,38809,
2,GULF AIR,34092,
3,GULF AIR,36399,
4,GULF AIR,35639,
5,GULF AIR,38161,
6,GULF AIR,39100,
7,GULF AIR,40378,
8,GULF AIR,33528,
9,GULF AIR,31114,
10,GULF AIR,34009,
11,GULF AIR,33427,
12,GULF AIR,40217,
1,INDIGO,64903,
2,INDIGO,63752,
3,INDIGO,74361,
4,INDIGO,65124,
5,INDIGO,68092,
6,INDIGO,74450,
7,INDIGO,83584,
8,INDIGO,59674,
9,INDIGO,65590,
10,INDIGO,75195,
11,INDIGO,82165,
12,INDIGO,97759,
1,IRAN AIR,1576,
2,IRAN AIR,1187,
3,IRAN AIR,1446,
4,IRAN AIR,1071,
5,IRAN AIR,2360,
6,IRAN AIR,800,
7,IRAN AIR,688,
8,IRAN AIR,993,
9,IRAN AIR,1328,
10,IRAN AIR,965,
11,IRAN AIR,1229,
12,IRAN AIR,1517,
1,IRAQI AIRWAYS,0,
2,IRAQI AIRWAYS,0,
3,IRAQI AIRWAYS,993,
4,IRAQI AIRWAYS,0,
5,IRAQI AIRWAYS,0,
6,IRAQI AIRWAYS,0,
7,IRAQI AIRWAYS,0,
8,IRAQI AIRWAYS,1732,
9,IRAQI AIRWAYS,0,
10,IRAQI AIRWAYS,0,
11,IRAQI AIRWAYS,1459,
12,IRAQI AIRWAYS,0,
1,ISLAND AVIATION SERVICES,4269,
2,ISLAND AVIATION SERVICES,3491,
3,ISLAND AVIATION SERVICES,4466,
4,ISLAND AVIATION SERVICES,3972,
5,ISLAND AVIATION SERVICES,4163,
6,ISLAND AVIATION SERVICES,2745,
7,ISLAND AVIATION SERVICES,4095,
8,ISLAND AVIATION SERVICES,3818,
9,ISLAND AVIATION SERVICES,3803,
10,ISLAND AVIATION SERVICES,3425,
11,ISLAND AVIATION SERVICES,6233,
12,ISLAND AVIATION SERVICES,5360,
1,JAPAN AIRLINES,4034,
2,JAPAN AIRLINES,4197,
3,JAPAN AIRLINES,4388,
4,JAPAN AIRLINES,3724,
5,JAPAN AIRLINES,3152,
6,JAPAN AIRLINES,3400,
7,JAPAN AIRLINES,3855,
8,JAPAN AIRLINES,3179,
9,JAPAN AIRLINES,3185,
10,JAPAN AIRLINES,3546,
